states,visits
0.6202950157481716 1,0
0.7221217581732594 1,0
0.6674919494141478 1,0
0.6893240739754652 1,0
0.7221876440440136 1,0
0.8032452353208007 1,0
0.7020249761772831 1,0
0.7948996317275645 1,0
0.7261069095571365 1,0
0.6673015119759731 1,0
0.35180444168132 0.810323274971218,0
0.6424463471367581 1,0
0.721999512745369 1,0
0.32473327928384516 0.6452162775180829,127
0.7467816908410787 1,21
0.6984074670260866 1,0
0.8142259858665113 1,0
0.6739219720075775 1,0
0.30085939742098766 0.5320417731250512,174
0.6900554470863078 0.9998831554294512,0
0.7603699408704613 1,0
0.7788462442888727 1,0
0.6497019746587576 1,0
0.4347110711004055 0.995956544925436,14
0.838370828945104 1,0
0.7174894484246893 1,0
0.6949784180000115 1,0
0.658723847459614 1,0
0.7452286150394476 1,0
0.7632954772920997 1,12
0.8740562634153735 1,2767
0.8646007040202535 1,0
0.8476038444754792 1,0
0.7066997350544678 1,0
0.8524158382208636 1,0
0.7503325489549683 1,3
0.7574968226870177 1,0
0.7437346597919243 1,10
0.6998066638869732 1,0
0.8885232634383462 1,0
0.7020074894862172 1,0
0.7527920706084857 1,0
0.7700204461103345 1,0
0.8560195739328632 0.8586772393582044,0
0.8052256965349149 1,0
0.8564397880436638 1,0
0.831577993520788 1,0
0.7129728624426659 1,0
0.6222186687212041 1,0
0.699047529490872 1,0
0.6914700438319051 1,0
0.8406884276358243 1,0
0.717354640975107 1,0
0.31507018849283513 0.5563665920944278,10
0.7570388177932854 1,0
0.6696875262896278 1,1
0.7342592022562803 1,0
0.71809864929773 1,8
0.6496242316606907 1,0
0.6802160997576936 1,18
0.7019144287463884 1,0
0.7222701207905066 1,0
0.6568267621722472 1,0
0.6944202497990467 1,0
0.3183296890546923 0.44906469196969706,0
0.7728553934796552 1,1
0.673882961177174 0.990055372621502,1305
0.6979309871927337 1,0
0.7115071255594965 1,0
0.780593083322367 1,0
0.7435831584311531 1,0
0.788668279337555 1,23
0.4268308570472117 0.2944095576926322,314
0.793049728976315 1,0
0.6680326542206051 1,0
0.7109805511425258 1,0
0.67505150742687 1,0
0.6729185882693721 1,0
0.6322112962187176 1,0
0.8544349659048752 0.44664434820219867,0
0.7869635214482411 1,0
0.8084086601265285 1,0
0.7527315127010611 1,0
0.7601508775368089 1,0
0.738402010842457 1,0
0.3060044450923464 0.3408035857305233,0
0.8976313691242362 0.433653921066833,0
0.6934737144302954 1,0
0.7723329933397639 1,0
0.6991474011219492 1,0
0.8778095537559385 1,0
0.6950589327569445 1,0
0.7182364720325621 1,0
0.832431598795862 1,0
0.3101394456149176 0.5559085908907991,0
0.7136172284738745 1,0
0.3236755819783402 0.5102686748252645,269
0.7945750197707183 1,0
0.6560232276848034 1,0
0.7467628575674854 1,0
0.604969301400179 1,0
0.7478720613742825 1,5
0.6993015245999733 1,38
0.6282572502734456 1,0
0.6492041839222146 1,0
0.793671595387249 1,0
0.6997468972686154 1,0
0.7705775642606764 1,0
0.866270891477498 1,0
0.7155429767138394 1,0
0.7211934963620127 1,0
0.7464115428095482 1,0
0.34320714866949403 0.5649812222046234,35
0.6566271395151304 1,0
0.9052670591387593 0.6807135327491574,0
0.6716509594492263 1,0
0.7919907732253724 1,4
0.6683338257897646 1,0
0.7306148047186679 1,0
0.8577025458430161 1,0
0.7587050830884513 1,0
0.6666495960309928 1,0
0.7406138199333313 1,0
0.7777948331980311 1,0
0.3159121645712569 0.44276647499036825,13
0.6483832171182013 1,0
0.6526540069889853 1,0
0.8266974525566265 1,0
0.862958579649194 1,0
0.8675462770157418 1,0
0.6847380534003695 1,0
0.8563591695460306 1,0
0.7014127271428799 1,0
0.6842492360521383 1,1
0.7723733942446929 1,0
0.6578122574953691 1,0
0.8811286984439972 1,0
0.7257111462928745 1,0
0.7608105463060238 1,0
0.6751880829517102 1,0
0.706744511518059 1,0
0.7356787044881619 1,0
0.7897040663335637 1,0
0.6775890729949874 1,0
0.6821265381453187 1,0
0.694318598386021 1,0
0.7890818439230844 1,0
0.7413582874709727 1,0
0.6758912758233991 1,0
0.7384821603185419 1,0
0.8845719868853207 1,0
0.8524119673233939 1,0
0.8544318835199871 1,0
0.650733812578913 1,0
0.739755786774277 1,0
0.7883922733572801 1,0
0.7070273434483398 1,0
0.6247729957240353 1,0
0.7227814931525336 1,0
0.7545070282195278 1,0
0.6968320430334639 1,0
0.7309257085943804 1,12
0.6770746808255117 1,0
0.7567806637622622 1,0
0.8186344108585184 1,0
0.8948501308304748 1,0
0.8352676958803251 1,0
0.8867516560148454 1,0
0.7317546429788155 1,0
0.7018129158841737 1,0
0.7372090645756314 1,0
0.817248976526951 1,0
0.6126595718576995 0.3051989682062382,0
0.702641855824126 1,2
0.7262129291230228 1,0
0.8375868509492381 1,0
0.8357825097956781 1,0
0.6885505731935104 1,0
0.7236753143053941 1,0
0.6321773645495342 1,0
0.7578968369297384 1,0
0.7010277418969245 1,7
0.8116114940528995 1,13
0.37671840002071955 0.8655202522829385,0
0.6309149147724008 1,0
0.6856746025399701 1,0
0.7448751642940586 1,0
0.6921709296554502 1,0
0.846227808338246 0.748396140143597,0
0.6785419899927846 1,0
0.7073328780991915 1,0
0.7131020929455896 1,0
0.7046959343464021 1,0
0.6311669806258047 1,0
0.7037571422389123 1,0
0.6707773961254115 1,0
0.7599629302791179 1,0
0.6804240318648561 1,0
0.7264683016633556 1,0
0.6713445392618272 1,0
0.7490084586435138 1,0
0.6470792501277287 1,0
0.691735547696304 1,0
0.6598573775164961 1,0
0.7834806635351664 1,0
0.8167519475602525 1,0
0.6298449643875356 1,0
0.6852462653804219 1,0
0.7119166878314354 1,0
0.8448623942413065 1,0
0.6952742154460491 1,0
0.8433456702208311 1,0
0.69605041717294 1,0
0.7017115985549269 1,0
0.44261066203660226 0.2672440279015966,39
0.27800655144529923 0.25988126684076357,36
0.6618111073123905 1,0
0.6746833656195008 1,0
0.757741090096449 1,0
0.7144536061107409 1,0
0.7398974976836449 1,1
0.6779402261145456 1,0
0.7103710742015842 1,0
0.7091780666292969 1,0
0.7270461831729783 1,8
0.6839667161404664 1,0
0.7694805978339859 1,54
0.8828242036571988 1,1
0.7289596298035951 1,0
0.7411398767886986 1,0
0.7217277613103958 1,0
0.7237649238843187 1,0
0.7478617196346717 1,0
0.7481219417373736 1,0
0.8607960961416541 1,0
0.7078056980015328 1,0
0.6955606920353363 1,0
0.7026788585959605 1,0
0.6951481368482972 1,0
0.8366096299448618 1,0
0.7241837737258626 1,0
0.6691675731034449 1,0
0.7855774901842669 1,0
0.7586184342964164 1,0
0.7207366069396692 1,0
0.6598917995867443 1,0
0.7670978974729129 1,0
0.7296230714856213 1,0
0.6752958729702737 1,0
0.6997390224996879 1,0
0.6955564533646346 1,0
0.7117924114332844 1,0
0.6903700897245353 1,0
0.8805762489986206 0.901301082893103,0
0.7456948524614294 1,9
0.5652977677737964 0.29544836907677136,0
0.6886056246089767 1,0
0.6762915825724231 1,0
0.8736843917443765 1,0
0.745364908123855 1,0
0.6130803141053237 1,0
0.6388631792159939 1,0
0.7268342496698876 1,0
0.7782285807722039 1,0
0.6937669976957501 1,0
0.8045294889175458 1,0
0.6887508557149237 1,4
0.6829103787401816 1,3
0.6748720034500446 1,3
0.361000761291687 0.6713240685361548,113
0.9240129210341661 0.3923936170802844,0
0.8964501643899726 1,0
0.6670719321355574 1,0
0.8788999340355147 1,1
0.8014946540469858 1,0
0.6553450013424456 1,0
0.7291954258662414 1,0
0.7220627006350253 1,0
0.7494611857029603 1,7
0.6524204440098126 1,0
0.8128311653160489 1,0
0.7667359847011583 1,0
0.32528634415438756 0.3834591698377326,0
0.637101447572043 1,0
0.701189476846505 1,0
0.6781898891773327 1,0
0.704219239749359 1,0
0.8380058827383909 1,0
0.7650018363032601 1,0
