states,visits
0.8478956325616891 0.8739868207138346,0
0.14603878739386228 0.024798929676866033,1
0.6687044129228573 0.5939434978212077,0
0.6343347351760229 0.6732445988970343,1
0.5431836404856444 0.48038824438612804,0
0.6898384456633636 0.7270642029590713,0
0.532459682498956 0.04079524394414231,0
0.9555636399010842 0.956214991666004,1
0.6213509354755457 0.5801434688412039,0
0.6837063428357972 0.7985034013098326,0
0.4753697712397721 0.014603166469236413,0
0.7682549297680052 0.7937153388597011,0
0.818887351773646 0.9027412120336515,0
0.30077746237591857 0.015327952854039407,0
0.5585181099729412 0.06497786981236657,0
1 0.8815464964026195,0
0.7661337298883559 0.8721921044303553,0
0.5464368798224273 0.32495045097842595,0
0.033798368837325815 0,0
0.5155362076764051 0.03324298268553026,0
0.5559280385452126 0.44167492355144006,0
0.9479070201188988 0.9123076373694806,0
0.8240462514104785 0.8988541699615745,0
0.6821200242403865 0.6495696707704456,0
0.5496446719079205 0.23749767946129155,0
0.8030850282353516 0.8771942105639846,0
0.10967664892688003 0,0
0.7400488900020988 0.7891811936563384,0
0.7826833802504549 0.8650954068776989,535
0.13979510037106388 0.023792864749258708,0
0.5399060845213273 0,0
0.7839023090836504 0.8975067693825496,0
1 0.8897549661497434,0
0.6191366527474402 0.522792587626714,1
0.8068631739692131 0.8809155604013938,0
0.36344376391479294 0.014177153772371758,0
0.04383344054711954 0,0
0.5905366373703308 0.21274018803647163,1
0.2087156647612065 7.925089599739813e-05,0
0.6879625037602988 0.5818866750151434,0
0.5815569828878274 0.5227892624219649,0
0.15218723768627906 0,0
0.4982357153561704 0.23688941509963166,0
0.5025178209977669 0.36635366286410426,0
0.8096528688668855 0.8679840487189325,0
0.7390654715943974 0.7791519139103464,0
1 0.8871112252066174,0
0.6508291798145477 0.675874416669411,0
0.8628419987445565 0.9236913439802555,0
0.23965235250225986 0.016190066241118312,0
0.7285305934301731 0.7769767798103124,0
0.12406220402364582 0.014239069191619894,0
0.528544196606596 0.506930277945329,0
0.24667282009764666 0,0
0.3145303299854999 0.03148296775039053,0
0.6026143129114127 0.5051656986655008,1
0.6516910902677199 0.6718975812822138,0
0.6631250823314803 0.751316781797212,0
0.6672190803416591 0.6418073259502828,1
0.64724558802624 0.5907943822312377,0
0.6611069526237419 0.5140528854663601,0
0.4619688072458441 0.022491676332204925,0
0.6641232527291236 0.7655043155021288,0
0.5970459450737499 0.28712360688652266,537
0.5386157277464729 0.07335502317130968,1
0.5403874421722528 0.41728350296596883,0
0.7850814002697392 0.8049437322442339,0
0.31447668099378884 0.004262932564689558,0
0.5441371019264958 0.47587942599011135,0
0.44277984079238436 0,0
0.5475496090664581 0.03258441136684926,0
0.8951522343775286 0.9126951877439339,0
0.35638767523641807 0,0
0.6913043463909749 0.7712318025241852,0
0.6918261564286666 0.807770329369408,0
0.4837218366932313 0.034369686178921485,0
0.5403817422066324 0.1583542721262188,0
0.556076809622498 0.01508385238277363,0
0.8320771552744465 0.8902240624861647,0
0.23349157346849453 0,0
0.6740654516633237 0.6532222896117561,0
0.5218948728224021 0.07241328472751674,0
0.5654692253931043 0.10543487867706278,0
0.7469696076378809 0.8974585211376122,1
0.6558759539510062 0.6264480674649723,0
0.4579641752708395 0,545
0.519011668849016 0.3382159678354698,0
0.755341920207097 0.8851872737593568,0
0.7496345330466926 0.7811479880520662,0
0.8325725726897751 0.9553706705060738,0
0.6852118772369271 0.7676711148279669,0
0.5422501132248307 0.1492329129650264,0
0.044656833225030675 0,0
0.35113828370342803 0.05836998950123297,0
0.5128988390932189 0.006990604627192895,0
0.7305030922882638 0.7902290033334565,0
0.5110859655129564 0.18861176371694152,0
0.049179753327791856 0,0
0.9974644039391383 0.9250120812275622,0
0.5753762531343862 0.2798783943763171,0
0.9767128037281702 0.8935773138718477,0
0.8561230058406099 0.9322905953151172,37
0.5569898974509592 0.12496840207997864,0
